"","V1","V2","V3","cluster"
"1",25,0,75,"1"
"2",26,0,74,"1"
"3",27,0,73,"1"
"4",28,0,72,"1"
"5",29,0,71,"1"
"6",30,0,70,"1"
"7",31,0,69,"1"
"8",32,0,68,"1"
"9",33,0,67,"1"
"10",34,0,66,"1"
"11",35,0,65,"1"
"12",36,0,64,"1"
"13",37,0,63,"1"
"14",38,0,62,"1"
"15",39,0,61,"1"
"16",40,0,60,"1"
"17",41,0,59,"1"
"18",42,0,58,"1"
"19",43,0,57,"1"
"20",44,0,56,"1"
"21",45,0,55,"1"
"22",46,0,54,"1"
"23",47,0,53,"1"
"24",48,0,52,"1"
"25",49,0,51,"1"
"26",50,0,50,"2"
"27",51,0,49,"2"
"28",52,0,48,"2"
"29",53,0,47,"2"
"30",54,0,46,"2"
"31",55,0,45,"2"
"32",56,0,44,"2"
"33",57,0,43,"2"
"34",58,0,42,"2"
"35",59,0,41,"2"
"36",60,0,40,"2"
"37",61,0,39,"2"
"38",62,0,38,"2"
"39",63,0,37,"2"
"40",64,0,36,"2"
"41",65,0,35,"2"
"42",66,0,34,"2"
"43",67,0,33,"2"
"44",68,0,32,"2"
"45",69,0,31,"2"
"46",70,0,30,"2"
"47",71,0,29,"2"
"48",72,0,28,"2"
"49",73,0,27,"2"
"50",74,0,26,"2"
"51",75,0,25,"2"
"52",75,0,25,"2"
"53",74,0,26,"2"
"54",73,0,27,"2"
"55",72,0,28,"2"
"56",71,0,29,"2"
"57",70,0,30,"2"
"58",69,0,31,"2"
"59",68,0,32,"2"
"60",67,0,33,"2"
"61",66,0,34,"2"
"62",65,0,35,"2"
"63",64,0,36,"2"
"64",63,0,37,"2"
"65",62,0,38,"2"
"66",61,0,39,"2"
"67",60,0,40,"2"
"68",59,0,41,"2"
"69",58,0,42,"2"
"70",57,0,43,"2"
"71",56,0,44,"2"
"72",55,0,45,"2"
"73",54,0,46,"2"
"74",53,0,47,"2"
"75",52,0,48,"2"
"76",51,0,49,"2"
"77",50,0,50,"2"
"78",49,0,51,"1"
"79",48,0,52,"1"
"80",47,0,53,"1"
"81",46,0,54,"1"
"82",45,0,55,"1"
"83",44,0,56,"1"
"84",43,0,57,"1"
"85",42,0,58,"1"
"86",41,0,59,"1"
"87",40,0,60,"1"
"88",39,0,61,"1"
"89",38,0,62,"1"
"90",37,0,63,"1"
"91",36,0,64,"1"
"92",35,0,65,"1"
"93",34,0,66,"1"
"94",33,0,67,"1"
"95",32,0,68,"1"
"96",31,0,69,"1"
"97",30,0,70,"1"
"98",29,0,71,"1"
"99",28,0,72,"1"
"100",27,0,73,"1"
"101",26,0,74,"1"
"102",25,0,75,"1"
"103",75,0,25,"2"
"104",74,0,26,"2"
"105",73,0,27,"2"
"106",72,0,28,"2"
"107",71,0,29,"2"
"108",70,0,30,"2"
"109",69,0,31,"2"
"110",68,0,32,"2"
"111",67,0,33,"2"
"112",66,0,34,"2"
"113",65,0,35,"2"
"114",64,0,36,"2"
"115",63,0,37,"2"
"116",62,0,38,"2"
"117",61,0,39,"2"
"118",60,0,40,"2"
"119",59,0,41,"2"
"120",58,0,42,"2"
"121",57,0,43,"2"
"122",56,0,44,"2"
"123",55,0,45,"2"
"124",54,0,46,"2"
"125",53,0,47,"2"
"126",52,0,48,"2"
"127",51,0,49,"2"
"128",50,0,50,"2"
"129",49,0,51,"1"
"130",48,0,52,"1"
"131",47,0,53,"1"
"132",46,0,54,"1"
"133",45,0,55,"1"
"134",44,0,56,"1"
"135",43,0,57,"1"
"136",42,0,58,"1"
"137",41,0,59,"1"
"138",40,0,60,"1"
"139",39,0,61,"1"
"140",38,0,62,"1"
"141",37,0,63,"1"
"142",36,0,64,"1"
"143",35,0,65,"1"
"144",34,0,66,"1"
"145",33,0,67,"1"
"146",32,0,68,"1"
"147",31,0,69,"1"
"148",30,0,70,"1"
"149",29,0,71,"1"
"150",28,0,72,"1"
"151",27,0,73,"1"
"152",26,0,74,"1"
"153",25,0,75,"1"
"154",25,0,75,"1"
"155",26,0,74,"1"
"156",27,0,73,"1"
"157",28,0,72,"1"
"158",29,0,71,"1"
"159",30,0,70,"1"
"160",31,0,69,"1"
"161",32,0,68,"1"
"162",33,0,67,"1"
"163",34,0,66,"1"
"164",35,0,65,"1"
"165",36,0,64,"1"
"166",37,0,63,"1"
"167",38,0,62,"1"
"168",39,0,61,"1"
"169",40,0,60,"1"
"170",41,0,59,"1"
"171",42,0,58,"1"
"172",43,0,57,"1"
"173",44,0,56,"1"
"174",45,0,55,"1"
"175",46,0,54,"1"
"176",47,0,53,"1"
"177",48,0,52,"1"
"178",49,0,51,"1"
"179",50,0,50,"2"
"180",51,0,49,"2"
"181",52,0,48,"2"
"182",53,0,47,"2"
"183",54,0,46,"2"
"184",55,0,45,"2"
"185",56,0,44,"2"
"186",57,0,43,"2"
"187",58,0,42,"2"
"188",59,0,41,"2"
"189",60,0,40,"2"
"190",61,0,39,"2"
"191",62,0,38,"2"
"192",63,0,37,"2"
"193",64,0,36,"2"
"194",65,0,35,"2"
"195",66,0,34,"2"
"196",67,0,33,"2"
"197",68,0,32,"2"
"198",69,0,31,"2"
"199",70,0,30,"2"
"200",71,0,29,"2"
"201",72,0,28,"2"
"202",73,0,27,"2"
"203",74,0,26,"2"
"204",75,0,25,"2"
"205",25,20,55,"1"
"206",25,21,54,"1"
"207",25,22,53,"1"
"208",25,23,52,"1"
"209",25,24,51,"1"
"210",25,25,50,"1"
"211",25,26,49,"1"
"212",25,27,48,"1"
"213",25,28,47,"1"
"214",25,29,46,"1"
"215",25,30,45,"1"
"216",25,31,44,"1"
"217",25,32,43,"1"
"218",25,33,42,"3"
"219",25,34,41,"3"
"220",25,35,40,"3"
"221",25,36,39,"3"
"222",25,37,38,"3"
"223",25,38,37,"3"
"224",25,39,36,"3"
"225",25,40,35,"3"
"226",25,41,34,"3"
"227",25,42,33,"3"
"228",25,43,32,"3"
"229",25,44,31,"3"
"230",25,45,30,"3"
"231",25,46,29,"3"
"232",25,47,28,"3"
"233",25,48,27,"3"
"234",25,49,26,"3"
"235",25,50,25,"3"
"236",26,20,54,"1"
