yr,month,decimal,atm(ppm),tend,
1981,1,1981042,340.09,339.46,
1981,2,1981125,340.65,339.60,
1981,3,1981208,341.28,339.93,
1981,4,1981292,341.56,339.95,
1981,5,1981375,341.29,339.76,#NAME?
1981,6,1981458,340.49,339.71,
1981,7,1981542,339.10,339.94,
1981,8,1981625,337.95,340.22,
1981,9,1981708,337.86,340.24,
1981,10,1981792,338.95,340.30,
1981,11,1981875,340.06,340.38,
1981,12,1981958,340.63,340.40,
1982,1,1982042,341.27,340.65,
1982,2,1982125,341.85,340.80,
1982,3,1982208,342.13,340.75,
1982,4,1982292,342.42,340.81,
1982,5,1982375,342.27,340.74,
1982,6,1982458,341.39,340.63,
1982,7,1982542,339.66,340.51,
1982,8,1982625,338.02,340.30,
1982,9,1982708,338.08,340.45,
1982,10,1982792,339.53,340.87,
1982,11,1982875,340.86,341.19,
1982,12,1982958,341.68,341.44,
1983,1,1983042,342.27,341.61,
1983,2,1983125,342.64,341.61,
1983,3,1983208,342.93,341.60,
1983,4,1983292,343.41,341.84,
1983,5,1983375,343.74,342.22,
1983,6,1983458,343.41,342.61,
1983,7,1983542,342.06,342.82,
1983,8,1983625,340.55,342.77,
1983,9,1983708,340.46,342.87,
1983,10,1983792,341.67,343.07,
1983,11,1983875,342.73,343.08,
1983,12,1983958,343.39,343.17,
1984,1,1984042,344.22,343.57,
1984,2,1984125,344.74,343.73,
1984,3,1984208,344.86,343.51,
1984,4,1984292,345.09,343.47,
1984,5,1984375,345.24,343.70,
1984,6,1984458,344.47,343.71,
1984,7,1984542,343.11,343.92,
1984,8,1984625,342.13,344.41,
1984,9,1984708,342.04,344.48,
1984,10,1984792,342.91,344.29,
1984,11,1984875,344.08,344.39,
1984,12,1984958,344.92,344.63,
1985,1,1985042,345.27,344.58,
1985,2,1985125,345.71,344.69,
1985,3,1985208,346.55,345.24,
1985,4,1985292,346.84,345.24,
1985,5,1985375,346.68,345.11,
1985,6,1985458,346.18,345.39,
1985,7,1985542,344.86,345.68,
1985,8,1985625,343.36,345.67,
1985,9,1985708,343.30,345.75,
1985,10,1985792,344.56,345.94,
1985,11,1985875,345.69,346.02,
1985,12,1985958,346.45,346.15,
1986,1,1986042,347.01,346.32,
1986,2,1986125,347.23,346.24,
1986,3,1986208,347.61,346.29,
1986,4,1986292,348.13,346.51,
1986,5,1986375,348.23,346.66,
1986,6,1986458,347.67,346.90,
1986,7,1986542,346.21,347.05,
1986,8,1986625,344.83,347.12,
1986,9,1986708,344.76,347.17,
1986,10,1986792,345.95,347.32,
1986,11,1986875,347.22,347.55,
1986,12,1986958,347.67,347.39,
1987,1,1987042,347.92,347.14,
1987,2,1987125,348.47,347.39,
1987,3,1987208,349.20,347.78,
1987,4,1987292,349.89,348.21,
1987,5,1987375,350.17,348.60,
1987,6,1987458,349.40,348.73,
1987,7,1987542,347.83,348.81,
1987,8,1987625,346.59,348.97,
1987,9,1987708,346.64,349.09,
1987,10,1987792,347.91,349.30,
1987,11,1987875,349.19,349.52,
1987,12,1987958,350.15,349.84,
1988,1,1988042,350.87,350.07,
1988,2,1988125,351.43,350.35,
1988,3,1988208,351.81,350.35,
1988,4,1988292,352.26,350.49,
1988,5,1988375,352.43,350.80,
1988,6,1988458,351.75,351.04,
1988,7,1988542,350.27,351.24,
1988,8,1988625,349.07,351.52,
1988,9,1988708,349.27,351.78,
1988,10,1988792,350.45,351.87,
1988,11,1988875,351.63,351.98,
1988,12,1988958,352.48,352.20,
1989,1,1989042,353.03,352.21,
1989,2,1989125,353.49,352.38,
1989,3,1989208,354.04,352.61,
1989,4,1989292,354.42,352.65,
1989,5,1989375,354.23,352.55,
1989,6,1989458,353.29,352.59,
1989,7,1989542,351.58,352.60,
1989,8,1989625,350.19,352.67,
1989,9,1989708,350.52,353.05,
1989,10,1989792,351.81,353.24,
1989,11,1989875,352.98,353.33,
1989,12,1989958,353.84,353.53,
1990,1,1990042,354.39,353.65,
1990,2,1990125,354.78,353.72,
1990,3,1990208,355.08,353.68,
1990,4,1990292,355.40,353.64,
1990,5,1990375,355.31,353.64,
1990,6,1990458,354.24,353.59,
1990,7,1990542,352.63,353.70,
1990,8,1990625,351.50,354.00,
1990,9,1990708,351.71,354.23,
1990,10,1990792,353.10,354.48,
1990,11,1990875,354.34,354.62,
1990,12,1990958,355.09,354.63,
1991,1,1991042,355.66,354.90,
1991,2,1991125,356.08,354.98,
1991,3,1991208,356.57,355.16,
1991,4,1991292,357.08,355.34,
1991,5,1991375,357.00,355.37,
1991,6,1991458,356.08,355.47,
1991,7,1991542,354.44,355.53,
